Month ,Median Home Price,Inflation Adjusted Price
5/1/04,"$181,893.38","$254,782.51"
6/1/04,"$184,363.48","$257,425.65"
7/1/04,"$185,882.06","$259,957.14"
8/1/04,"$187,121.91","$261,552.98"
9/1/04,"$188,169.54","$262,463.31"
10/1/04,"$189,073.00","$262,342.01"
11/1/04,"$190,062.96","$263,577.52"
12/1/04,"$191,004.87","$265,858.10"
1/1/05,"$191,629.60","$266,168.19"
2/1/05,"$193,321.19","$266,977.77"
3/1/05,"$196,060.40","$268,659.55"
4/1/05,"$198,559.33","$270,266.19"
5/1/05,"$201,173.60","$274,106.27"
6/1/05,"$203,624.47","$277,303.03"
7/1/05,"$205,537.12","$278,618.50"
8/1/05,"$206,969.20","$279,131.27"
9/1/05,"$208,285.94","$277,515.87"
10/1/05,"$208,814.56","$277,661.52"
11/1/05,"$209,333.57","$280,605.51"
12/1/05,"$209,746.85","$282,302.42"
1/1/06,"$210,217.81","$280,796.08"
2/1/06,"$211,169.32","$281,499.22"
3/1/06,"$212,726.35","$282,013.60"
4/1/06,"$214,129.60","$281,478.94"
5/1/06,"$215,850.01","$282,339.27"
6/1/06,"$216,609.30","$282,773.89"
7/1/06,"$216,340.19","$281,589.88"
8/1/06,"$216,820.75","$281,661.74"
9/1/06,"$216,071.07","$282,071.25"
10/1/06,"$215,677.01","$283,091.57"
11/1/06,"$215,417.51","$283,171.93"
12/1/06,"$214,562.10","$281,628.17"
1/1/07,"$214,398.71","$280,557.30"
2/1/07,"$215,042.67","$279,902.39"
3/1/07,"$216,724.64","$279,546.21"
4/1/07,"$217,858.77","$279,195.39"
5/1/07,"$218,099.05","$277,805.72"
6/1/07,"$218,070.22","$277,231.73"
7/1/07,"$216,859.20","$275,762.31"
8/1/07,"$215,667.40","$274,750.66"
9/1/07,"$214,033.48","$271,919.74"
10/1/07,"$211,746.00","$268,439.36"
11/1/07,"$209,333.57","$263,814.06"
12/1/07,"$207,142.20","$261,227.62"
1/1/08,"$204,527.93","$256,655.03"
2/1/08,"$203,845.53","$255,058.00"
3/1/08,"$202,749.85","$251,506.93"
4/1/08,"$201,798.33","$248,817.57"
5/1/08,"$200,866.04","$245,599.88"
6/1/08,"$200,395.08","$242,579.57"
7/1/08,"$198,386.33","$238,893.53"
8/1/08,"$196,146.90","$237,143.42"
9/1/08,"$193,619.13","$234,411.51"
10/1/08,"$191,533.49","$234,252.73"
11/1/08,"$187,304.53","$233,553.78"
12/1/08,"$185,603.33","$233,851.12"
1/1/09,"$186,324.18","$233,742.01"
2/1/09,"$187,083.47","$233,533.19"
3/1/09,"$185,439.94","$230,920.06"
4/1/09,"$185,564.89","$230,500.24"
5/1/09,"$186,852.80","$231,431.47"
6/1/09,"$187,554.42","$230,322.04"
7/1/09,"$186,920.08","$229,907.59"
8/1/09,"$186,285.73","$228,614.61"
9/1/09,"$185,305.38","$227,269.34"
